city_name,city_number,country,lat,lon,temp,humidity,wind,clouds
seoul,1835848,KR,37.57,126.98,20.32,37,7.7,0
bjornevatn,780643,NO,69.67,29.98,-2.0,79,9.3,0
san sebastian,3110044,ES,43.31,-1.98,12.18,100,1.0,90
cabedelo,3404558,BR,-6.98,-34.83,24.0,100,1.5,40
nis,2990440,FR,43.7,7.27,14.73,87,3.1,73
yavas,468587,RU,54.42,42.85,13.7,92,6.19,100
port hueneme,5384339,US,34.15,-119.2,16.27,72,8.7,1
weatherford,4740364,US,32.76,-97.8,20.41,91,1.34,0
havoysund,779622,NO,71.0,24.66,0.0,92,8.7,75
haifa,294801,IL,32.82,34.99,20.76,57,1.13,0
fukue,1863997,JP,32.69,128.84,20.0,49,8.2,0
irece,3461013,BR,-11.3,-41.86,21.66,76,5.9,71
virginia beach,4791259,US,36.85,-75.98,9.92,76,2.1,20
esso,2125711,RU,55.93,158.7,3.46,78,1.9,19
bozhou,1816234,CN,33.88,115.77,29.77,26,4.46,63
sokolo,2450849,ML,14.73,-6.12,30.46,38,3.08,24
concepcion del oro,4013039,MX,24.63,-101.42,20.01,25,1.55,0
conde,3385077,BR,-7.26,-34.91,24.0,100,1.5,40
tairua,2182010,NZ,-37.02,175.85,16.61,72,5.81,100
haibowan,1000000, ,0.0,0.0,0.0,0,0.0,0
voskresenskoye,471607,RU,56.84,45.43,14.23,90,4.41,100
khani,610864,GE,41.96,42.96,15.0,58,4.6,75
uyuni,3901903,BO,-20.46,-66.83,2.84,66,4.96,0
rosarito,3988392,MX,32.33,-117.03,18.57,77,4.1,90
saint-louis,2246451,SN,16.33,-15.0,26.69,24,4.55,17
